employee_id,full_name,gender,age,department,job_level,education,hire_date,termination_date,employment_status,termination_reason,annual_salary,performance_rating,months_since_last_promotion,monthly_overtime_hours,job_satisfaction,commute_miles,work_arrangement,training_hours_last_year
E10030,Donna Moore,Female,31,Operations,Senior,Associate Degree,2023-04-24,,Active,,76800.0,2,0,10.5,4.3,0.7,Hybrid,23
E10031,George Clark,Male,33,Sales,Lead,Bachelor's,2022-03-23,,Active,,144800.0,3,41,14.5,3.1,3.9,Hybrid,12
E10032,Paul Martin,Male,33,Engineering,Entry,Bachelor's,2019-11-28,,Active,,91800.0,3,11,0.0,3.3,19.9,Remote,33
E10033,Jason Jones,Male,48,Sales,Manager,Bachelor's,2018-09-11,2025-05-12,Terminated,Involuntary - Restructuring,175700.0,1,18,14.5,2.6,3.4,Hybrid,26
E10034,Richard King,Male,26,IT,Entry,High School,2023-01-09,,Active,,68000.0,3,28,7.2,2.5,12.3,Onsite,4
E10035,Larry White,Male,22,Customer Support,Entry,Bachelor's,2024-08-22,,Active,,41800.0,3,10,17.0,2.4,6.0,Onsite,23
E10036,Jason Wright,Male,37,Customer Support,Manager,Bachelor's,2021-12-04,,Active,,107700.0,3,46,16.3,2.2,9.0,Onsite,18
E10037,Margaret Gonzalez,Female,22,Operations,Entry,Bachelor's,2024-05-15,,Active,,44500.0,4,26,10.7,3.4,17.3,Remote,17
E10038,Ashley Robinson,Female,45,Customer Support,Senior,PhD,2021-05-24,,Active,,73500.0,4,16,13.9,2.2,0.5,Hybrid,14
E10039,Karen Flores,Female,32,Customer Support,Lead,Master's,2025-11-24,,Active,,82800.0,3,0,7.6,3.7,0.7,Hybrid,5
E10040,Ryan Robinson,Male,34,Finance,Entry,Master's,2024-09-18,,Active,,71000.0,3,17,8.4,2.9,13.1,Hybrid,9
E10041,Deborah Wright,Female,33,Sales,Senior,Master's,2023-06-06,,Active,,102800.0,3,0,6.5,3.8,8.4,Onsite,26
E10042,Ryan White,Male,41,Customer Support,Manager,Bachelor's,2022-08-21,,Active,,106000.0,3,1,11.7,3.3,3.5,Hybrid,3
E10043,Larry Lopez,Male,33,HR,Associate,Bachelor's,2023-12-30,,Active,,68500.0,4,21,1.4,2.7,3.2,Onsite,43
E10044,George Young,Male,33,Customer Support,Associate,Master's,2018-09-13,,Active,,59900.0,2,12,20.0,3.6,14.8,Remote,23
E10045,Cynthia Hill,Female,22,Engineering,Entry,Bachelor's,2024-08-15,,Active,,80700.0,4,1,2.8,3.6,1.1,Hybrid,10
E10046,Susan Taylor,Female,31,Engineering,Entry,Bachelor's,2019-09-29,,Active,,83700.0,1,14,6.2,2.4,5.3,Onsite,0
E10047,Daniel Martinez,Male,32,Sales,Manager,Bachelor's,2026-03-09,,Active,,156200.0,3,5,15.4,3.2,0.7,Onsite,3
E10048,Jennifer Thompson,Female,39,Operations,Lead,Bachelor's,2026-07-14,,Active,,94600.0,2,1,12.1,2.9,18.6,Hybrid,37
E10049,David Gonzalez,Male,36,Finance,Senior,Bachelor's,2024-11-09,,Active,,125000.0,3,5,6.4,3.0,29.8,Hybrid,37
E10050,David White,Male,32,Engineering,Entry,Bachelor's,2021-01-31,,Active,,85800.0,3,0,17.0,3.6,3.1,Remote,20
E10051,William Hernandez,Male,36,Engineering,Senior,Master's,2024-03-28,,Active,,147300.0,4,1,13.1,3.4,21.0,Hybrid,23
E10052,Ryan Thompson,Male,47,Marketing,Director,High School,2023-04-03,,Active,,207800.0,3,37,3.9,3.3,5.8,Hybrid,22
E10053,Carol Davis,Female,29,HR,Manager,Master's,2024-11-21,,Active,,132700.0,3,20,11.1,1.5,13.1,Hybrid,8
E10054,Nicholas Young,Male,29,Engineering,Entry,PhD,2020-09-07,,Active,,89700.0,4,34,8.7,3.4,19.6,Hybrid,12
E10055,Kevin Jackson,Male,31,Engineering,Associate,Associate Degree,2023-06-15,,Active,,116400.0,1,4,0.8,3.2,15.2,Onsite,28
E10056,Michael Jackson,Male,32,Sales,Entry,Bachelor's,2022-10-05,,Active,,61200.0,1,16,12.9,2.7,19.9,Remote,29
E10057,George Williams,Male,21,Engineering,Associate,Master's,2022-03-13,,Active,,114300.0,2,6,8.2,3.0,2.4,Hybrid,11
E10058,Rebecca Taylor,Female,33,Finance,Lead,Associate Degree,2024-12-07,,Active,,139000.0,2,2,8.0,3.5,2.9,Hybrid,31
E10059,Kimberly Perez,Female,25,Sales,Associate,Master's,2025-04-17,,Active,,78200.0,3,4,13.2,3.4,8.3,Onsite,20
E10060,Rebecca Hill,Female,33,Engineering,Senior,High School,2024-12-04,,Active,,143700.0,3,10,10.5,3.9,3.9,Hybrid,23
E10061,Gary Robinson,Male,26,Customer Support,Entry,High School,2019-04-15,,Active,,47000.0,2,22,16.0,3.0,6.5,Remote,9
E10062,Kimberly Flores,Female,28,Sales,Entry,Associate Degree,2022-12-11,,Active,,61600.0,3,45,9.0,2.3,7.9,Hybrid,5
E10063,Kevin Wilson,Male,41,Engineering,Senior,Bachelor's,2019-11-17,,Active,,158600.0,3,56,12.4,3.6,6.5,Hybrid,18
E10064,George Lee,Male,29,IT,Associate,Bachelor's,2021-06-13,,Active,,94100.0,3,14,12.4,2.9,20.6,Onsite,7
E10065,Stephen Wright,Male,31,Sales,Senior,Associate Degree,2025-07-19,,Active,,109600.0,3,13,16.0,3.4,16.8,Remote,0
E10066,Michael Gonzalez,Male,35,IT,Associate,Bachelor's,2021-02-23,,Active,,92800.0,4,30,13.0,3.5,7.0,Hybrid,26
E10067,Stephanie Martinez,Female,46,IT,Manager,Master's,2019-11-24,,Active,,170500.0,3,4,2.1,4.4,16.3,Onsite,21
E10068,Sarah Rodriguez,Female,36,Finance,Lead,Bachelor's,2025-03-30,,Active,,141200.0,4,9,5.0,2.8,5.4,Remote,10
E10069,Margaret Harris,Female,42,IT,Director,Master's,2026-01-07,,Active,,215600.0,3,7,2.0,2.5,0.6,Hybrid,14
E10070,Jacob Clark,Male,55,IT,Director,Master's,2022-06-26,,Active,,243300.0,4,15,12.1,3.6,2.1,Hybrid,27
E10071,Stephen Taylor,Male,35,Sales,Lead,Master's,2020-03-24,,Active,,138900.0,3,1,12.2,3.4,1.5,Onsite,20
E10072,Robert Johnson,Male,35,Operations,Lead,Master's,2025-03-29,,Active,,96700.0,3,17,18.9,2.8,12.3,Onsite,20
E10073,Jeffrey Jackson,Male,26,Sales,Entry,Associate Degree,2024-12-02,,Active,,63600.0,2,6,19.2,2.9,9.1,Hybrid,26
E10074,Stephen Flores,Male,25,HR,Entry,Bachelor's,2024-10-27,,Active,,52400.0,2,15,17.3,3.9,0.6,Onsite,8
E10075,Sarah Taylor,Female,40,Marketing,Lead,Bachelor's,2022-02-17,,Active,,124000.0,2,31,3.0,3.4,0.5,Onsite,16
E10076,Rebecca Scott,Female,39,Customer Support,Associate,Associate Degree,2019-03-03,2025-08-13,Terminated,Voluntary - Better Opportunity,61200.0,2,31,23.4,1.8,1.6,Hybrid,24
E10077,Jessica Williams,Female,30,Sales,Associate,Master's,2021-09-27,,Active,,82000.0,1,1,4.9,1.8,0.8,Remote,19
E10078,David Flores,Male,27,Engineering,Associate,Bachelor's,2024-01-03,,Active,,115900.0,2,25,2.1,3.2,11.4,Hybrid,20
E10079,Amy Jones,Female,32,HR,Senior,Bachelor's,2023-09-25,,Active,,92500.0,2,21,4.1,2.2,12.6,Hybrid,12
E10080,Paul Gonzalez,Male,26,Sales,Associate,Master's,2025-10-27,,Active,,82800.0,4,10,13.8,3.2,5.5,Remote,26
E10081,Michelle Nguyen,Female,42,Customer Support,Manager,High School,2021-12-27,,Active,,110800.0,3,0,22.0,1.6,3.9,Hybrid,20
E10082,Laura Scott,Female,32,Sales,Senior,Master's,2024-06-06,,Active,,98100.0,3,27,6.1,2.7,9.9,Hybrid,20
E10083,Lisa Allen,Female,34,Customer Support,Senior,Bachelor's,2018-10-19,2022-12-04,Terminated,Voluntary - Personal,69300.0,2,4,20.0,2.4,2.8,Onsite,38
E10084,George Miller,Male,34,Operations,Associate,Bachelor's,2021-09-03,,Active,,67900.0,1,9,15.7,1.6,1.3,Remote,22
E10085,Joseph Brown,Male,39,Operations,Manager,Bachelor's,2021-07-21,,Active,,129900.0,2,2,8.3,3.7,29.7,Onsite,25
E10086,Sarah Williams,Female,26,Finance,Entry,Bachelor's,2022-05-04,,Active,,69700.0,2,2,0.0,3.9,1.1,Onsite,8
E10087,John Lewis,Male,41,Finance,Director,Associate Degree,2019-11-28,,Active,,260000.0,3,9,7.5,4.2,3.0,Hybrid,16
E10088,Barbara Thomas,Female,26,Engineering,Entry,Master's,2020-05-26,,Active,,90000.0,2,3,0.0,4.5,3.4,Hybrid,25
E10089,Kimberly Johnson,Female,30,Engineering,Entry,Master's,2025-01-10,,Active,,82200.0,3,10,5.9,4.7,6.3,Remote,33
E10090,Margaret Moore,Female,33,IT,Associate,Associate Degree,2020-06-21,2021-03-16,Terminated,Voluntary - Personal,93400.0,3,71,13.1,3.0,6.4,Onsite,17
E10091,James Lee,Male,52,Customer Support,Director,Bachelor's,2022-09-21,,Active,,151200.0,2,4,15.3,3.1,18.4,Hybrid,16
E10092,Stephanie Allen,Female,37,Operations,Lead,Master's,2023-03-08,,Active,,98100.0,4,34,16.8,2.5,4.5,Hybrid,29
E10093,Steven Jackson,Male,41,Sales,Lead,Bachelor's,2025-07-13,,Active,,120100.0,3,13,24.5,1.9,2.1,Onsite,24
E10094,Jeffrey Walker,Male,21,Marketing,Entry,Associate Degree,2023-09-28,,Active,,60800.0,2,5,3.9,2.6,2.3,Hybrid,23
E10095,Richard Moore,Male,32,Finance,Associate,Bachelor's,2023-09-19,,Active,,97400.0,1,22,16.0,2.7,2.2,Hybrid,28
E10096,Kimberly Walker,Female,23,IT,Associate,PhD,2021-06-25,,Active,,81100.0,3,60,6.9,3.4,1.4,Onsite,0
E10097,Betty Thompson,Female,31,Operations,Lead,Master's,2025-09-16,,Active,,89500.0,2,11,10.7,3.5,10.4,Onsite,33
E10098,Amy Thompson,Female,23,Sales,Entry,Master's,2025-01-09,2026-02-25,Terminated,Involuntary - Performance,59300.0,2,17,10.4,3.4,2.9,Onsite,16
E10099,Cynthia Lopez,Female,23,IT,Associate,Bachelor's,2023-03-03,2023-12-16,Terminated,Voluntary - Relocation,85700.0,3,24,1.7,2.6,0.5,Hybrid,0
E10100,Jacob Brown,Male,42,Customer Support,Lead,Associate Degree,2023-08-19,,Active,,86900.0,2,22,15.1,2.3,14.8,Hybrid,23
E10101,Amy Robinson,Female,21,Marketing,Entry,Associate Degree,2022-11-12,2026-06-10,Terminated,Voluntary - Personal,61000.0,3,38,5.9,2.8,8.1,Onsite,19
E10102,Margaret King,Female,26,Customer Support,Entry,Master's,2025-04-15,,Active,,41200.0,3,16,4.3,4.3,1.3,Remote,7
E10103,Edward Garcia,Male,48,Finance,Manager,Master's,2020-10-21,,Active,,188900.0,1,2,0.0,3.7,3.2,Hybrid,18
E10104,Stephanie Young,Female,31,IT,Associate,Bachelor's,2020-09-28,,Active,,85100.0,3,71,9.6,4.0,13.3,Hybrid,37
E10105,Emily Taylor,Female,33,HR,Associate,PhD,2020-05-03,,Active,,74700.0,3,59,0.0,3.6,17.6,Remote,17
E10106,Christopher Thompson,Male,25,Customer Support,Entry,High School,2023-10-25,,Active,,42300.0,4,2,8.1,2.7,14.3,Remote,7
E10107,Jacob Martinez,Male,30,Sales,Entry,Bachelor's,2018-12-26,,Active,,63600.0,3,10,11.7,3.3,0.8,Remote,14
E10108,John Garcia,Male,42,IT,Manager,Associate Degree,2019-04-11,,Active,,173900.0,4,5,5.7,4.7,0.8,Onsite,10
E10109,Michael Sanchez,Male,29,HR,Senior,Bachelor's,2022-06-10,,Active,,100800.0,2,3,0.9,3.5,6.5,Onsite,25
E10110,Ronald Wright,Male,41,Engineering,Lead,Bachelor's,2024-02-19,,Active,,173400.0,2,22,13.5,3.2,6.5,Hybrid,9
E10111,Edward Clark,Male,27,Marketing,Entry,High School,2023-01-13,,Active,,62600.0,2,44,4.7,2.9,10.3,Hybrid,31
E10112,Stephen Perez,Male,33,Operations,Senior,Bachelor's,2026-01-01,2026-04-30,Terminated,Involuntary - Performance,80000.0,3,7,17.5,2.0,1.6,Onsite,3
E10113,Jeffrey Johnson,Male,30,Operations,Entry,Bachelor's,2019-02-15,,Active,,53000.0,3,17,12.5,1.9,3.8,Hybrid,20
E10114,Gary Rodriguez,Male,27,Sales,Associate,PhD,2024-06-28,,Active,,86400.0,3,26,3.5,3.7,6.0,Hybrid,11
E10115,Jessica Flores,Female,44,IT,Manager,Bachelor's,2020-04-02,,Active,,172900.0,3,10,10.1,3.0,7.5,Onsite,14
E10116,Ashley Wright,Female,28,Customer Support,Associate,High School,2020-07-24,,Active,,57900.0,2,11,14.5,3.3,0.9,Hybrid,18
E10117,Ashley Harris,Female,33,Customer Support,Associate,Master's,2026-01-01,,Active,,52800.0,3,7,14.1,3.2,2.0,Hybrid,13
E10118,Eric Martin,Male,22,Sales,Associate,High School,2023-09-22,,Active,,88600.0,2,0,4.0,3.5,3.8,Hybrid,4
E10119,Rebecca Martin,Female,25,Operations,Associate,Bachelor's,2026-03-27,,Active,,61200.0,2,5,9.2,3.8,2.9,Onsite,26
E10120,Laura Walker,Female,48,IT,Manager,High School,2018-11-21,,Active,,158700.0,4,85,5.9,3.3,3.2,Hybrid,9
E10121,Kevin Jackson,Male,30,Customer Support,Associate,Bachelor's,2018-11-25,,Active,,61900.0,1,10,11.7,3.6,3.0,Remote,19
E10122,Emily Harris,Female,22,IT,Associate,Associate Degree,2021-02-01,,Active,,84000.0,2,14,4.6,4.4,13.2,Onsite,2
E10123,Christopher King,Male,40,Customer Support,Manager,Master's,2021-06-03,,Active,,109300.0,3,1,12.3,3.5,2.5,Onsite,15
E10124,Thomas Lopez,Male,38,Engineering,Senior,Associate Degree,2023-08-12,2025-03-20,Terminated,Voluntary - Personal,150100.0,4,22,8.9,2.9,1.1,Hybrid,12
E10125,Melissa Jones,Female,43,Finance,Manager,Master's,2026-05-24,,Active,,169800.0,3,3,3.3,4.8,0.5,Hybrid,24
E10126,Jennifer Flores,Female,37,Engineering,Associate,Bachelor's,2019-11-26,,Active,,121800.0,3,4,8.8,3.3,3.1,Hybrid,24
E10127,Larry Hernandez,Male,41,Customer Support,Lead,Master's,2023-01-09,,Active,,89300.0,2,33,13.5,3.1,1.3,Hybrid,27
E10128,Ashley Clark,Female,40,Sales,Associate,Bachelor's,2023-10-23,2024-07-19,Terminated,Involuntary - Performance,78000.0,2,29,16.5,2.7,4.5,Onsite,7
E10129,Sarah Allen,Female,32,IT,Senior,PhD,2020-12-13,,Active,,121700.0,3,11,7.5,3.2,15.7,Onsite,25
E10130,Cynthia Jones,Female,25,Sales,Associate,Associate Degree,2026-04-24,,Active,,78300.0,3,4,9.4,3.5,0.5,Onsite,21
E10131,Michael Lee,Male,35,Operations,Associate,Master's,2020-06-12,,Active,,68800.0,4,13,15.9,3.7,20.6,Onsite,35
E10132,Sarah Clark,Female,48,Engineering,Lead,Master's,2020-03-31,,Active,,174100.0,3,7,10.5,3.8,1.0,Hybrid,17
E10133,Rebecca Scott,Female,28,Customer Support,Associate,Bachelor's,2022-08-05,,Active,,55100.0,3,22,13.4,3.2,3.3,Onsite,43
E10134,George King,Male,35,Engineering,Senior,Bachelor's,2025-03-23,2025-12-29,Terminated,Voluntary - Better Opportunity,145300.0,3,7,10.0,2.8,2.3,Hybrid,29
E10135,Paul Jones,Male,41,IT,Manager,Bachelor's,2025-02-05,,Active,,169800.0,2,4,4.3,4.1,0.6,Remote,32
E10136,Ronald Nguyen,Male,30,Sales,Associate,Associate Degree,2022-12-28,2026-06-21,Terminated,Involuntary - Performance,86800.0,3,21,16.5,3.3,4.6,Onsite,22
E10137,Steven Garcia,Male,35,Sales,Associate,High School,2022-04-27,,Active,,84300.0,3,13,4.7,3.2,5.7,Hybrid,11
E10138,James Thomas,Male,39,Operations,Manager,Master's,2022-06-10,,Active,,128900.0,2,13,16.9,3.6,1.7,Hybrid,20
E10139,Robert Lewis,Male,37,HR,Senior,Master's,2021-09-22,,Active,,96100.0,3,59,7.9,4.1,2.2,Hybrid,9
E10140,Christopher Rodriguez,Male,39,Engineering,Manager,Bachelor's,2020-07-10,2025-01-05,Terminated,Involuntary - Restructuring,235700.0,2,8,12.7,3.3,0.5,Hybrid,12
E10141,Richard Jackson,Male,32,Customer Support,Associate,Bachelor's,2024-01-01,,Active,,58300.0,3,29,16.7,2.7,3.0,Onsite,26
E10142,Edward Torres,Male,32,Engineering,Entry,Bachelor's,2023-05-19,2024-10-29,Terminated,Involuntary - Performance,78700.0,2,4,5.3,2.1,2.5,Hybrid,31
E10143,Gary Anderson,Male,32,Operations,Entry,Master's,2025-03-22,,Active,,47400.0,4,2,24.9,2.5,1.1,Onsite,15
E10144,Sandra Perez,Female,39,Customer Support,Lead,PhD,2022-09-14,,Active,,86000.0,4,0,22.8,3.1,11.3,Hybrid,17
E10145,Nancy Lee,Female,30,Customer Support,Associate,Bachelor's,2024-02-26,2024-05-07,Terminated,Involuntary - Performance,54800.0,1,4,16.8,3.4,30.7,Onsite,22
E10146,Thomas Johnson,Male,28,Marketing,Entry,Bachelor's,2021-11-19,,Active,,61800.0,4,12,3.5,4.4,9.5,Hybrid,26
E10147,Paul Allen,Male,40,Sales,Senior,Master's,2024-03-20,2026-06-28,Terminated,Voluntary - Better Opportunity,114800.0,2,16,16.4,4.3,1.1,Onsite,16
E10148,Melissa Walker,Female,46,Engineering,Manager,Bachelor's,2020-10-29,,Active,,217200.0,3,53,12.0,1.8,6.3,Hybrid,13
E10149,Mark Moore,Male,36,Marketing,Director,Bachelor's,2025-04-20,,Active,,199900.0,2,3,6.1,2.9,9.1,Hybrid,29
E10150,Jacob Harris,Male,34,Operations,Senior,Bachelor's,2025-10-08,,Active,,77000.0,2,1,19.9,1.8,30.7,Remote,33
E10151,Amanda Moore,Female,43,HR,Senior,High School,2022-06-16,,Active,,94200.0,4,8,2.1,3.6,7.0,Onsite,30
E10152,Rebecca Walker,Female,24,Finance,Entry,Bachelor's,2021-10-02,2025-02-14,Terminated,Involuntary - Restructuring,73000.0,3,44,8.9,2.3,2.0,Remote,46
E10153,Jeffrey Lopez,Male,43,Engineering,Manager,Bachelor's,2019-02-26,,Active,,238600.0,2,5,0.0,2.6,38.1,Onsite,8
E10154,Nancy Miller,Female,30,Operations,Associate,Associate Degree,2021-08-13,,Active,,65200.0,3,61,12.2,1.4,11.2,Hybrid,17
E10155,William Young,Male,29,Sales,Entry,Bachelor's,2022-07-15,,Active,,67500.0,3,4,17.8,2.6,2.9,Hybrid,18
E10156,Kimberly Ramirez,Female,34,Engineering,Associate,Bachelor's,2022-11-25,,Active,,114000.0,4,32,12.5,2.9,0.6,Onsite,22
E10157,Michelle Thompson,Female,30,Marketing,Lead,Bachelor's,2022-04-04,,Active,,128800.0,3,13,16.5,3.4,0.5,Hybrid,30
E10158,Jennifer Taylor,Female,48,Finance,Manager,Master's,2021-05-29,2022-03-26,Terminated,Involuntary - Performance,171600.0,3,30,8.4,3.3,8.1,Hybrid,19
E10159,Deborah Clark,Female,34,Sales,Manager,Master's,2020-02-02,2026-03-17,Terminated,Voluntary - Relocation,160900.0,1,10,21.2,3.5,3.4,Remote,33
E10160,Amanda Thompson,Female,33,Sales,Associate,Bachelor's,2024-08-29,,Active,,80800.0,3,4,9.9,2.7,0.9,Remote,10
E10161,Larry Thompson,Male,42,HR,Associate,Master's,2019-08-06,,Active,,80000.0,2,36,8.6,1.9,9.4,Remote,22
E10162,Melissa Martinez,Female,37,HR,Associate,Bachelor's,2023-06-15,,Active,,69100.0,3,1,0.0,2.6,1.1,Hybrid,16
E10163,Richard Lee,Male,37,Customer Support,Lead,Master's,2020-09-02,,Active,,95800.0,3,6,15.2,3.9,6.7,Hybrid,19
E10164,Paul Thomas,Male,53,HR,Director,Master's,2019-08-25,,Active,,202200.0,3,42,2.1,3.5,2.2,Remote,10
E10165,Christopher Martinez,Male,34,Engineering,Senior,Bachelor's,2018-11-17,,Active,,160000.0,4,2,7.9,3.1,0.5,Hybrid,18
E10166,Carol Taylor,Female,41,Engineering,Lead,Bachelor's,2020-05-12,,Active,,176700.0,3,8,11.5,4.0,15.9,Hybrid,17
E10167,Robert White,Male,35,Engineering,Lead,Bachelor's,2025-03-09,2026-06-27,Terminated,Involuntary - Performance,170400.0,1,5,0.0,3.1,3.8,Hybrid,7
E10168,Kevin Ramirez,Male,32,Marketing,Senior,Associate Degree,2021-05-28,,Active,,105000.0,4,20,8.1,3.2,7.3,Remote,23
E10169,David Johnson,Male,33,Marketing,Associate,Bachelor's,2021-06-09,,Active,,83800.0,4,7,7.9,4.2,3.1,Hybrid,14
E10170,Anthony Thomas,Male,24,Finance,Entry,Master's,2020-09-18,,Active,,74100.0,3,3,1.3,3.4,1.3,Hybrid,11
E10171,Emily Robinson,Female,29,Engineering,Entry,High School,2026-03-20,2026-08-20,Terminated,Involuntary - Restructuring,78300.0,1,5,13.4,2.1,26.1,Onsite,27
E10172,Michael Jackson,Male,49,Sales,Lead,Bachelor's,2020-09-28,,Active,,140600.0,4,22,12.8,3.0,15.8,Hybrid,25
E10173,Kimberly Moore,Female,35,Sales,Entry,High School,2021-12-02,,Active,,62800.0,3,28,11.1,2.7,6.0,Hybrid,12
E10174,Barbara Robinson,Female,35,Customer Support,Associate,Associate Degree,2022-05-31,2023-07-13,Terminated,Voluntary - Better Opportunity,54900.0,4,26,11.1,2.6,0.5,Hybrid,0
E10175,Linda Hernandez,Female,29,Customer Support,Senior,High School,2026-07-25,2026-08-25,Terminated,Involuntary - Performance,69300.0,3,1,8.3,3.5,15.4,Onsite,20
E10176,Brian Flores,Male,39,Engineering,Director,Bachelor's,2024-12-15,,Active,,260000.0,3,7,14.0,3.2,3.8,Remote,25
E10177,Edward Lewis,Male,42,Engineering,Senior,Associate Degree,2021-03-29,,Active,,160600.0,4,1,3.9,4.6,0.5,Onsite,16
E10178,Joseph Ramirez,Male,27,Operations,Associate,Associate Degree,2021-01-19,,Active,,70900.0,3,5,2.8,3.1,0.6,Onsite,21
E10179,Linda Allen,Female,35,Engineering,Associate,Master's,2023-04-06,,Active,,114100.0,3,0,10.6,3.4,18.8,Hybrid,11
E10180,Karen Martinez,Female,36,IT,Lead,Bachelor's,2018-11-24,2026-02-12,Terminated,Voluntary - Relocation,142200.0,2,6,6.2,2.4,3.3,Hybrid,15
E10181,William Clark,Male,27,Marketing,Senior,Bachelor's,2019-08-24,,Active,,117300.0,4,4,1.9,4.2,7.6,Onsite,7
E10182,David Gonzalez,Male,34,Operations,Senior,Associate Degree,2022-10-30,,Active,,88300.0,4,46,8.2,1.4,10.3,Onsite,15
E10183,Karen Brown,Female,36,Marketing,Associate,Bachelor's,2019-07-14,,Active,,82900.0,3,56,1.2,3.5,2.7,Hybrid,0
E10184,William Gonzalez,Male,28,Engineering,Associate,Bachelor's,2019-10-08,,Active,,122100.0,2,12,0.0,4.2,14.1,Hybrid,19
E10185,Eric Thomas,Male,34,IT,Lead,Bachelor's,2023-01-12,,Active,,137600.0,5,35,16.7,2.9,12.3,Hybrid,15
E10186,Ashley Hernandez,Female,29,Operations,Associate,Bachelor's,2024-08-20,,Active,,60900.0,2,8,23.7,3.2,0.5,Remote,26
